WorkUID	ItemUID	ImageGroupUID	Series	Subject	Title	Description	Author	AuthorDate	JointAuthor	Commentary	Commentator	Editor	Language	Script 	Scribe	Material	Size_inches	Lines	LettersPerLine	Status	Library	LibraryAddress	Owner	MSSSource	Condition 	Folios	Granthas	CopiedFrom	ObtainedFrom	Publication 	Year 	Edition 	ShelfNo	RowNo	Remarks
W.ISKS1RC45.001	ISKS1RC45	IG.ISKS1RC45.001	45	BUDDHISM	Satasahasrika prajna paramita part I Fas. 11		Unknown	Unknown				Prathapacandra ghosa	Sanskrit	Devanagari		 Ptd.Paper	5X8.16	23		C	Unknown	Unknown			Good	106			Unknown	The Asiatic Society,57,Park Street,Calcutta	1905				
W.ISKS1RC46.001	ISKS1RC46	IG.ISKS1RC46.001	46	BUDDHISM	Satasahasrika prajna paramita part I Fas. 12		Unknown	Unknown				Prathapacandra ghosa	Sanskrit	Devanagari		 Ptd.Paper	5X8.16	23		C	Unknown	Unknown			Good	108			Unknown	The Asiatic Society,57,Park Street,Calcutta	1906				
W.ISKS1RC47.001	ISKS1RC47	IG.ISKS1RC47.001	47	BUDDHISM	Satasahasrika prajna paramita part I Fas. 13		Unknown	Unknown				Prathapacandra ghosa	Sanskrit	Devanagari		 Ptd.Paper	5X8.16	23		C	Unknown	Unknown			Good	108			Unknown	The Asiatic Society,57,Park Street,Calcutta	1910				
W.ISKS1RC48.001	ISKS1RC48	IG.ISKS1RC48.001	48	BUDDHISM	Satasahasrika prajna paramita part I Fas. 14		Unknown	Unknown				Prathapacandra ghosa	Sanskrit	Devanagari		 Ptd.Paper	5X8.16	23		C	Unknown	Unknown			Good	107			Unknown	The Asiatic Society,57,Park Street,Calcutta	1910				
W.ISKS1RC49.001	ISKS1RC49	IG.ISKS1RC49.001	49	BUDDHISM	Satasahasrika prajna paramita part I Fas. 15		Unknown	Unknown				Prathapacandra ghosa	Sanskrit	Devanagari		 Ptd.Paper	5X8.16	23		C	Unknown	Unknown			Good	107			Unknown	The Asiatic Society,57,Park Street,Calcutta	1911				
W.ISKS1RC50.001	ISKS1RC50	IG.ISKS1RC50.001	50	BUDDHISM	Satasahasrika prajna paramita part I Fas. 16		Unknown	Unknown				Prathapacandra ghosa	Sanskrit	Devanagari		 Ptd.Paper	5X8.16	23		C	Unknown	Unknown			Good	108			Unknown	Asiatic Society,57, park street.	1911				
W.ISKS1RC51.001	ISKS1RC51	IG.ISKS1RC51.001	51	BUDDHISM	Satasahasrika prajna paramita part I Fas. 17		Unknown	Unknown				Prathapacandra ghosa	Sanskrit	Devanagari		 Ptd.Paper	5X8.16	23		C	Unknown	Unknown			Good	106			Unknown	Asiatic Society,57, park street.	1912				
W.ISKS1RC52.001	ISKS1RC52	IG.ISKS1RC52.001	52	BUDDHISM	Firstful of sand		Unknown	Unknown				Unknown	English	Roman		 Ptd.Paper	4.13X7	26		C	Unknown	Unknown			Good	98			Unknown	?	?				
W.ISKS1RC53.001	ISKS1RC53	IG.ISKS1RC53.001	53	BUDDHISM	Frames of Reference & Duties of the Sangha		Ajaan Lee Dhammadharo	Unknown				Unknown	English	Roman		 Ptd.Paper	4.42X6.95	23	42	C	Unknown	Unknown			Good	124			Unknown	?	1987	Second			
W.ISKS1RC54.001	ISKS1RC54	IG.ISKS1RC54.001	54	BUDDHISM	 Garland of Birth Stories		Arya sura	Unknown				F.Max Muller	English	Roman		 Ptd.Paper	5X8.21	43	51	C	Unknown	Unknown			Good	389				 Henry Frowde Oxford Univesity press Warehouse Amen Corner,E.C., London	1985		 	   	
W.ISKS1RC55.001	ISKS1RC55	IG.ISKS1RC55.001	55	BUDDHISM	Hand book of Chinese Buddhism		Earnest John Eitel	Unknown	K.Takakuwa			Unknown	English	Roma/Chinese		 Ptd.Paper	5.32X8.28	36	49	C	Unknown	Unknown			Good	342				Sanshusha,Tokyo	1904	Second			
W.ISKS1RC56.001	ISKS1RC56	IG.ISKS1RC56.001	56	BUDDHISM	The Light of Asia.		Edwin Arnold.	Unknown					English	Roman		 Ptd.Paper	4X6.11	26	41	C	Unknown	Unknown			Good	286				Roberts Brothers Boston	1879				
W.ISKS1RC57.001	ISKS1RC57	IG.ISKS1RC57.001	57	BUDDHISM	Madhyamakavatara 		candrakirti	Unknown					?	?		 Ptd.Paper	4.98X7.83	20	27	C	Unknown	Unknown			Good	446				Louis de la villee Poussin,St.-Petersbourg,Imprimerie De L'Academie Imperiale Des Sciences.	1912				
W.ISKS1RC58.001	ISKS1RC58	IG.ISKS1RC58.001	58	BUDDHISM	Mahavyutpatti		?	Unknown				Unknown	Sanksrit	Devna/?		 Ptd.Paper	5.67X8.82	26	36	C	Unknown	Unknown			Good	300				?	1911				
W.ISKS1RC59.001	ISKS1RC59	IG.ISKS1RC59.001	59	BUDDHISM	Nispanna yogavali 		Mahapandita Abhayakaragupta	Unknown				Benoytosh Bhattacharyya	Sanksrit	Deva/Rom		 Ptd.Paper	4.5X6.5	40	65	C	Unknown	Unknown			Good	110			The Oriental Institute Baroda	The Maharaja Gaekwad of Baroda 	1949				
W.ISKS1RC60.001	ISKS1RC60	IG.ISKS1RC60.001	60	BUDDHISM	Nispannayogavali		Mahapandita Abhayakaragupta	Unknown				Benoytosh Bhattacharyya	Sanksrit	Deva/Rom		 Ptd.Paper	5.82X8.26	40		C	Unknown	Unknown			Good	223			The Oriental Institute Baroda	The Maharaja Gaekwad of Baroda 	1949				
W.ISKS1RC61.001	ISKS1RC61	IG.ISKS1RC61.001	61	BUDDHISM	Nispannayogavali a1		Mahapandita Abhayakaragupta	Unknown				Benoytosh Bhattacharyya	Sanksrit	Deva/Rom		 Ptd.Paper	2.22X3.47	40		C	Unknown	Unknown			Good	112			The Oriental Institute Baroda	The Maharaja Gaekwad of Baroda 	1949				
W.ISKS1RC62.001	ISKS1RC62	IG.ISKS1RC62.001	62	BUDDHISM	On Yuan Chwang's Travel in India 629-645 A.D.		Thomas Watters	Unknown				T.W.Rhys Davids & S.W.Bushell	English	Roman		 Ptd.Paper	4.83X7.81	40	45	C	Unknown	Unknown			Good	424			?	The Royal Asiatic Society 22,Albemarle  Street, London	1904				
W.ISKS1RC63.001	ISKS1RC63	IG.ISKS1RC63.001	63	BUDDHISM	Pravrajya-Vastu		Unknown	Unknown				Unknown	Sanskrit	Devanagari		 Ptd.Paper	0.47X0.43	35	27	C	Unknown	Unknown			Good	146			Gilgit Mss	Sri J.C.Sarkhel Clcutta	1950				
W.ISKS1RC64.001	ISKS1RC64	IG.ISKS1RC64.001	64	BUDDHISM	The Divya Vadana		Unknown	Unknown				E.B.Cowell&R.A.Neil.	English	?		 Ptd.Paper	4.32X6.92	37	49	C	Unknown	Unknown			Good	730			?	C.J.Clay & Son,Cmbridge UniversityPress Warehouse,Ave Maria Lane, London	1886				
W.ISKS1RC65.001	ISKS1RC65	IG.ISKS1RC65.001	65	BUDDHISM	Sekoddesa Tika		Nadapada	Unknown		Sekoddesa	Nadapada	Mario E.Carelli	Skt/Eng	Deva/Rom		 Ptd.Paper	7.15X10	49	58	C	KSVPLT	Kendriya Sanskrit Vidya Peethaam Tirupati			Good	141			KSVPL Tirupati	The Maharaja Gaekwad of Baroda 	1174				
W.ISKS1RC66.001	ISKS1RC66	IG.ISKS1RC66.001	66	BUDDHISM	Sphutartha Abhidharma kosa Vyakhya 2		?	Unknown				Prof.Wogihar Prof. Th.Stcherbatsky	sanskrit	Devanagari		 Ptd.Paper	5.61X8.45	24	32	C	Unknown	Unknown			Good	104				?	1931				
W.ISKS1RC67.001	ISKS1RC67	IG.ISKS1RC67.001	67	BUDDHISM	Sphutartha Abhidharma kosa Vyakhya  1		?	Unknown				Prof.S.Levi and Prof.Th. Stcherbatsky	sanskrit	Devanagari		 Ptd.Paper	5.86X9.19	24	52	C	Unknown	Unknown			Good	113				?	1918				
W.ISKS1RC68.001	ISKS1RC68	IG.ISKS1RC68.001	68	BUDDHISM	Tantric _Buddhism_and_Altered_States_of_Consciousness		Unknown	Unknown					English	Roman		 Ptd.Paper	5.94X9	48	34	C	Unknown	Unknown			Good	19				?	Unknown				
W.ISKS1RC69.001	ISKS1RC69	IG.ISKS1RC69.001	69	BUDDHISM	The Antagada-Dasao and Anuttarovaiya-Dasao		L.D.Barnett	Unknown					English	Roman		 Ptd.Paper	4.64X7.47	38	49	C	Unknown	Unknown			Good	177			Oriental Translation Fund	The Royal Asiatic Society	1907				
W.ISKS1RC70.001	ISKS1RC70	IG.ISKS1RC70.001	70	BUDDHISM	 The Arymanjusrimulakakalpa part -2		Unknown	Unknown				T.Ganapathy Sastri	Sanskrit	Devanagari		 Ptd.Paper	4.72X9.45	27	18	C	Unknown	Unknown			Good	296			Trivandrum Skt Series	The Maharaja of travancore	1922				
W.ISKS1RC71.001	ISKS1RC71	IG.ISKS1RC71.001	71	BUDDHISM	Two Vajrayana Works		Unknown	Unknown				Benoytosh Bhattacharyya	Sanskrit	Devanagari		 Ptd.Paper	1.98X3.27	38	54	I	Unknown	Unknown			Good	72			Unknown	The Maharaja  Gaekwad of Baroda	1929				
W.ISKS1RC72.001	ISKS1RC72	IG.ISKS1RC72.001	72	BUDDHISM	Vibhanga buddhist 2nd Part		Unknown	Unknown				Mrs. Rhys Davids	English	Roman		 Ptd.Paper	4.54X7.67	39	46	C	CAL 	Centrl Archaeological Library New Delhi			Good	496			CAL.New Delhi	Henry Frowde	1904				
W.ISKS1RC73.001	ISKS1RC73	IG.ISKS1RC73.001	73	BUDDHISM	Virupaksa  ancient nepal		Hari  Ram Joshi	Unknown					English	Roman		 Ptd.Paper	7.30X8.98	43	75	C	Unknown	Unknown			Good	5			Unknown	Unknown	Unknown				
W.ISKS1RC74.001	ISKS1RC74	IG.ISKS1RC74.001	74	ADVAITA VEDANTA	ADVAITA SIDDHI SIDDHANTA SARA I		Pandit sri sadananda Vyasa	Unknown			Pandit sri sadananda Vyasa	Pandit. Lakshmana Sastri Dravida	Sanskrit	Devanagari		 Ptd.Paper	4.80X7.98	26	35	C	Unknown	Unknown			Good	103			Unknown	 The Secretary Chowkamba sanskrit Book depot Benares	1903	1			
W.ISKS1RC75.001	ISKS1RC75	IG.ISKS1RC75.001	75	ADVAITA VEDANTA	ADVAITA SIDDHI SIDDHANTA SARA II		Pandit sri sadananda Vyasa	Unknown			Pandit sri sadananda Vyasa		Sanskrit	Devanagari		 Ptd.Paper	6.19X9.97	26	35	C	Unknown	Unknown			Good	103			Unknown	 The Secretary Chowkamba sanskrit Book depot Benares	1903	2			
W.ISKS1RC76.001	ISKS1RC76	IG.ISKS1RC76.001	76	ADVAITA VEDANTA	ADVAITA SIDDHI SIDDHANTA SARA III		Pandit sri sadananda Vyasa	Unknown			Pandit sri sadananda Vyasa		Sanskrit	Devanagari		 Ptd.Paper	6.19X10.14	26	35	C	Unknown	Unknown			Good	85			Unknown	 The Secretary Chowkamba sanskrit Book depot Benares	1903	3			
