WorkUID	ItemUID	ImageGroupUID	Series	Subject	Title	Description	Author	AuthorDate	JointAuthor	Commentary	Commentator	Editor	Language	Script	Scribe	Material	Size_inches	Lines	LettersPerLine	Status	Library	LibraryAddress	Owner	MSSSource	Condition	Folios	Granthas	CopiedFrom	ObtainedFrom	Publication	Year	Edition	ShelfNo	RowNo	Remarks
W.ISKS1RC2362.001	ISKS1RC2362	IG.ISKS1RC2362.001	2362	AYURVEDA	Nadi jevana pariksha								Sanskrit	Devanagari		Paper Mss	24.33X12.55	10		C					Good	51									
W.ISKS1RC2363.001	ISKS1RC2363	IG.ISKS1RC2363.001	2363	AYURVEDA	Nadi vijnanam		Kagada	1921		Srijeevananda Bhattacharya			Sanskrit	Devanagari		Paper	3.91X7.44			C					Good	84				Sreeman Nityaboda vidya Ratnabashyam	1913	First			
W.ISKS1RC2364.001	ISKS1RC2364	IG.ISKS1RC2364.001	2364	AYURVEDA	Pratyaksa-Sariram part-1		Ganapathy Sen	1913					Sanskrit	Devanagari		Paper	2X3.49			C					Good	269				Sri Nathuram sarma	1913	First			
W.ISKS1RC2365.001	ISKS1RC2365	IG.ISKS1RC2365.001	2365	AYURVEDA	Rajanighantusahito _Dhanwantariya_ Nighantuh		Narayana sarma	1896					Sanskrit	Devanagari		Paper	8.5X13			C					Good	217					1896	First			
W.ISKS1RC2366.001	ISKS1RC2366	IG.ISKS1RC2366.001	2366	AYURVEDA	Rasamajari Vaidyaka		Salinath	1827			Sreekrishna Lal		Sanskrit	Devanagari		Paper	4.83X7.75			C					Good	186				Sree Venkateswara Press	1827	First			
W.ISKS1RC2367.001	ISKS1RC2367	IG.ISKS1RC2367.001	2367	AYURVEDA	Rasamajari Vaidyaka & Others		Salinath	1827			Sreekrishna Lal		Sanskrit	Devanagari		Paper	4.83X7.73			C					Good	180				Sree Venkateswara Press	1827	First			
W.ISKS1RC2368.001	ISKS1RC2368	IG.ISKS1RC2368.001	2368	AYURVEDA	Rasamajari vaidyaka		Salinath	1827			Sreekrishna Lal		Sanskrit	Devanagari		Paper	4.83X7.75			C					Good	187				Sree Venkateswara Press	1827	First			
W.ISKS1RC2369.001	ISKS1RC2369	IG.ISKS1RC2369.001	2369	AYURVEDA	Rasapradipika		Mudumba Vekatacharyulu	1916			Prabha	"Pandit, D. Gopalacharlu"	Sanskrit	Telugu		Paper	9.58X14			C					Good	269				"Ayurvedasrama, Madras."	1916	First			
W.ISKS1RC2370.001	ISKS1RC2370	IG.ISKS1RC2370.001	2370	AYURVEDA	Rasapradipika telugu		Mudumba Vekatacharyulu	1916			Prabha	"Pandit, D. Gopalacharlu"	Sanskrit	Telugu		Paper	9.62X13.65			C					Good	273				"Ayurvedasrama, Madras."	1916	First			
W.ISKS1RC2371.001	ISKS1RC2371	IG.ISKS1RC2371.001	2371	AYURVEDA	Rasasastra								English	Roman		Paper	6X9.94			C					Good	17						First			
W.ISKS1RC2372.001	ISKS1RC2372	IG.ISKS1RC2372.001	2372	AYURVEDA	Review of history of medicine Vol.1		"Thomas A. Wise,"						English	Roman		Paper	4.57X8			C					Good	504				"The Adam Black & Co.,"		First			
W.ISKS1RC2373.001	ISKS1RC2373	IG.ISKS1RC2373.001	2373	AYURVEDA	Review of history of medicine a1								English	Roman		Paper	4.58X8			C					Good	266						First			
W.ISKS1RC2374.001	ISKS1RC2374	IG.ISKS1RC2374.001	2374	AYURVEDA	Sarngadhara samhita		Sri Damodarasunoona			Sri Sangadar		Damalla/sri kasi sarma	Sanskrit	Deavanagari		Paper	10.66X16			C					Good	388						First			
W.ISKS1RC2375.001	ISKS1RC2375	IG.ISKS1RC2375.001	2375	AYURVEDA	Sarngadhara samhita		Sri Damodarasunoona			Sri Sangadar		Damalla/sri kasi sarma	Sanskrit	Deavanagari		Paper	10.66X16			C					Good	394						First			
W.ISKS1RC2376.001	ISKS1RC2376	IG.ISKS1RC2376.001	2376	AYURVEDA	Stripurusavaikaranam								Sanskrit	Deavanagari		Paper Mss	5.82X4.82	14		C	Academy of Medicine				Good	12									
W.ISKS1RC2377.001	ISKS1RC2377	IG.ISKS1RC2377.001	2377	AYURVEDA	Studies in medicine of ancient India part I		"A.F.Rudolf Hoernle, C.I.E."	1907					English	Roman		Paper	4.87X8.27			C	Academy of Medicine	Toronto			Good	290					1907	First			
W.ISKS1RC2378.001	ISKS1RC2378	IG.ISKS1RC2378.001	2378	AYURVEDA	Studies in medicine of ancient India part I		"A.F.Rudolf Hoernle, C.I.E."	1907					English	Roman		Paper	4.87X8.27			C	Academy of Medicine	Toronto			Good	291					1907	First			
W.ISKS1RC2379.001	ISKS1RC2379	IG.ISKS1RC2379.001	2379	AYURVEDA	Studies in medicine of ancient India part I		"A.F.Rudolf Hoernle, C.I.E."	1907					English	Roman		Paper	4.87X8.27			C		Toronto			Good	282					1907	First			
W.ISKS1RC2380.001	ISKS1RC2380	IG.ISKS1RC2380.001	2380	AYURVEDA	Susruta samhita								Sanskrit	Telugu		Paper	7.63X11.58			C					Good	167						First			
W.ISKS1RC2381.001	ISKS1RC2381	IG.ISKS1RC2381.001	2381	AYURVEDA	Susruta samhita English Traslations Vol-II		Kaviraj Kunja Lala Bhishagratna	1911					English	Roman		Paper	4.47X7.62			C	University of Toronto Library				Good	819				Kaviraj Kunja Lala Bhishagratna	1911	First			
